date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:12:10	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2005%20May%202026%2008:12:10%20GMT	https://old.leu.zuerich/bazaar	./old-leu-static/old.leu.zuerich/bazaar	(from https://old.leu.zuerich/)
10:12:11	36806/36806	---M-Z	200	added ('OK')	text/html	date:Tue,%2005%20May%202026%2008:12:10%20GMT	https://old.leu.zuerich/gewerbe/	./old-leu-static/old.leu.zuerich/gewerbe/index.html	(from https://old.leu.zuerich/)
10:12:11	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2005%20May%202026%2008:12:11%20GMT	https://old.leu.zuerich/endorsement-programm	./old-leu-static/old.leu.zuerich/endorsement-programm	(from https://old.leu.zuerich/)
10:12:12	70880/70880	---M-Z	200	added ('OK')	text/html	date:Tue,%2005%20May%202026%2008:12:11%20GMT	https://old.leu.zuerich/bazaar/	./old-leu-static/old.leu.zuerich/bazaar/index.html	(from https://old.leu.zuerich/)
10:12:12	28372/28372	---M-Z	200	added ('OK')	text/html	date:Tue,%2005%20May%202026%2008:12:12%20GMT	https://old.leu.zuerich/demurrage/	./old-leu-static/old.leu.zuerich/demurrage/index.html	(from https://old.leu.zuerich/)
10:12:13	30516/30516	---M-Z	200	added ('OK')	text/html	date:Tue,%2005%20May%202026%2008:12:12%20GMT	https://old.leu.zuerich/endorsement-programm/	./old-leu-static/old.leu.zuerich/endorsement-programm/index.html	(from https://old.leu.zuerich/)
10:12:13	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2005%20May%202026%2008:12:12%20GMT	https://old.leu.zuerich/ausschreibung	./old-leu-static/old.leu.zuerich/ausschreibung	(from https://old.leu.zuerich/)
10:12:14	3961/3961	---M-Z	200	added ('OK')	application/javascript	etag:%22f79-5f5ffacc3b70b-gzip%22	https://old.leu.zuerich/wp-content/themes/LEU/tools.js?ver=1.1.120260505081154	./old-leu-static/old.leu.zuerich/wp-content/themes/LEU/toolsebfd.js	(from https://old.leu.zuerich/)
10:12:14	27033/27033	---M-Z	200	added ('OK')	text/html	date:Tue,%2005%20May%202026%2008:12:14%20GMT	https://old.leu.zuerich/ausschreibung/	./old-leu-static/old.leu.zuerich/ausschreibung/index.html	(from https://old.leu.zuerich/)
10:12:15	8803539/8803539	---M--	200	added ('OK')	image/png	etag:%228654d3-5d835fa1e7cc6%22	https://old.leu.zuerich/wp-content/uploads/2022/02/shutterstock_92597140.png	./old-leu-static/old.leu.zuerich/wp-content/uploads/2022/02/shutterstock_92597140.png	(from https://old.leu.zuerich/)
10:12:15	2206/2206	---M--	200	added ('OK')	application/json	date:Tue,%2005%20May%202026%2008:12:15%20GMT	https://old.leu.zuerich/en/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fold.leu.zuerich%2Fen%2F	./old-leu-static/old.leu.zuerich/en/wp-json/oembed/1.0/embed3cea.json	(from https://old.leu.zuerich/en/)
10:12:16	752/752	---M-Z	200	added ('OK')	application/rss+xml	etag:%227a9b45e7dae8f811bb0899ed336cc8f5-gzip%22	https://old.leu.zuerich/en/front-page/feed/	./old-leu-static/old.leu.zuerich/en/front-page/feed/index.html	(from https://old.leu.zuerich/en/)
10:12:16	2354/2354	---M-Z	200	added ('OK')	text/xml	date:Tue,%2005%20May%202026%2008:12:16%20GMT	https://old.leu.zuerich/en/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fold.leu.zuerich%2Fen%2F&format=xml	./old-leu-static/old.leu.zuerich/en/wp-json/oembed/1.0/embed6ef0	(from https://old.leu.zuerich/en/)
10:12:17	9251/9251	---M-Z	200	added ('OK')	text/css	etag:%222423-5f5ff98572660-gzip%22	https://old.leu.zuerich/wp-content/themes/LEU/style.css?ver=1.1.120260505081156	./old-leu-static/old.leu.zuerich/wp-content/themes/LEU/styled357.css	(from https://old.leu.zuerich/en/)
10:12:18	5466/5466	---M--	200	added ('OK')	application/json	date:Tue,%2005%20May%202026%2008:12:18%20GMT	https://old.leu.zuerich/en/wp-json/wp/v2/pages/158	./old-leu-static/old.leu.zuerich/en/wp-json/wp/v2/pages/158.json	(from https://old.leu.zuerich/en/)
10:12:19	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2005%20May%202026%2008:12:19%20GMT	https://old.leu.zuerich/en/bazaar	./old-leu-static/old.leu.zuerich/en/bazaar	(from https://old.leu.zuerich/en/)
10:12:20	3961/3961	---M-Z	200	added ('OK')	application/javascript	etag:%22f79-5f5ffacc3b70b-gzip%22	https://old.leu.zuerich/wp-content/themes/LEU/tools.js?ver=1.1.120260505081156	./old-leu-static/old.leu.zuerich/wp-content/themes/LEU/toolsd357.js	(from https://old.leu.zuerich/en/)
